name,chart_template_id:id,id
Italia,l10n_it_chart_template_fcoach66,it
Regime UE,l10n_it_chart_template_fcoach66,ue
Extra-UE,l10n_it_chart_template_fcoach66,extra
Utility,l10n_it_chart_template_fcoach66,serv
Agriturismo L.413,l10n_it_chart_template_fcoach66,agt
IVA per cassa art.7 L.185/08,l10n_it_chart_template_fcoach66,l185
IVA in sosp. art.6 DPR633/72,l10n_it_chart_template_fcoach66,a6
