id,description,chart_template_id:id,name,sequence,amount,amount_type,type_tax_use,price_include,account_id/id,refund_account_id/id,tag_ids/id,children_tax_ids/id
a2a,a2a,l10n_chart_it_fcoach66,Acq.Escluso IVA (art.2 DPR633),41,,percent,purchase,False,,,,
a2v,a2v,l10n_chart_it_fcoach66,Vend.Escluso IVA (art.2 DPR633),42,,percent,sale,False,,,,
a7a,a7a,l10n_chart_it_fcoach66,Acq.N.I. art.7 DPR633,43,,percent,purchase,False,,,,
a7v,a7v,l10n_chart_it_fcoach66,Vend.N.I. art.7 DPR633,44,,percent,sale,False,,,,
a7ta,a7ta,l10n_chart_it_fcoach66,Acq.NI art.7ter DPR633 (servizi xUE),45,,percent,purchase,False,,,,
a7tv,a7tv,l10n_chart_it_fcoach66,Vend.NI art.7ter DPR633 (servizi xUE),46,,percent,sale,False,,,,
a8aa,a8aa,l10n_chart_it_fcoach66,Acq.N.I. art.8a DPR633 (Dogana),47,,percent,purchase,False,,,,
a8av,a8av,l10n_chart_it_fcoach66,Vend.N.I. art.8a DPR633 (Dogana),48,,percent,sale,False,,,,
a8c2a,a8c2a,l10n_chart_it_fcoach66,Acq.N.I. art.8c2 DPR633 (lett.Intento),49,,percent,purchase,False,,,,
a8c2v,a8c2v,l10n_chart_it_fcoach66,Vend.N.I. art.8c2 DPR633 (lett.Intento),50,,percent,sale,False,,,,
a9a,a9a,l10n_chart_it_fcoach66,Acq.N.I. art.9 DPR633,51,,percent,purchase,False,,,,
a9v,a9v,l10n_chart_it_fcoach66,Vend.N.I. art.9 DPR633,52,,percent,sale,False,,,,
a10a,a10a,l10n_chart_it_fcoach66,Acq.esente art.10 DPR633,53,,percent,purchase,False,,,,
a10v,a10v,l10n_chart_it_fcoach66,Vend.esente art.10 DPR633,54,,percent,sale,False,,,,
a10c5a,a10c5a,l10n_chart_it_fcoach66,Acq.esente art.10n27-quinques DPR633,55,,percent,purchase,False,,,,
a10c5v,a10c5v,l10n_chart_it_fcoach66,Vend.esente art.10n27-quinques DPR633,56,,percent,sale,False,,,,
a13a,a13a,l10n_chart_it_fcoach66,Acq.escluso art.13 DPR633,57,,percent,purchase,False,,,,
a13v,a13v,l10n_chart_it_fcoach66,Vend.escluso art.13 DPR633,58,,percent,sale,False,,,,
a15a,a15a,l10n_chart_it_fcoach66,Acq.escluso art.15 DPR633,59,,percent,purchase,False,,,tax_tag_04,
a15v,a15v,l10n_chart_it_fcoach66,Vend.escluso art.15 DPR633,60,,percent,sale,False,,,tax_tag_10,
a17a,a17a,l10n_chart_it_fcoach66,Acq.FC IVA Art.17 DPR633,61,,percent,purchase,False,,,,
a17v,a17v,l10n_chart_it_fcoach66,Vend.FC IVA Art.17 DPR633,62,,percent,sale,False,,,,
a17c2a,a17c2a,l10n_chart_it_fcoach66,N.I. art.17c2 DPR633,63,0.22,percent,purchase,False,153050,153050,,
a17c2v,a17c2v,l10n_chart_it_fcoach66,Rev. charge art.17c2 DPR633,64,0.22,percent,sale,False,260050,260050,,
a17c6a,a17c6a,l10n_chart_it_fcoach66,N.I. art.17c6 DPR633,65,0.22,percent,purchase,False,153050,153050,,
a17c6v,a17c6v,l10n_chart_it_fcoach66,Rev. charge art.17c6 DPR633,66,0.22,percent,sale,False,260050,260050,,
l41a36a,l41a36a,l10n_chart_it_fcoach66,Acq.N.Sogg. reg.Marg. (art.36 L41/95),67,,percent,purchase,False,,,,
l41a36v,l41a36v,l10n_chart_it_fcoach66,Vend.N.Sogg. reg.Marg. (art.36 L41/95),68,,percent,sale,False,,,,
l41a37a,l41a37a,l10n_chart_it_fcoach66,Acq.Op.UE reg.Margine (art.37 L41/95),69,,percent,purchase,False,,,,
l41a37v,l41a37v,l10n_chart_it_fcoach66,Vend.Op.UE reg.Margine (art.37 L41/95),70,,percent,sale,False,,,,
a38a,a38a,l10n_chart_it_fcoach66,N.I. art.38 L.427/93,71,0.22,percent,purchase,False,153050,153050,,
a38v,a38v,l10n_chart_it_fcoach66,Rev. charge art.38 L.427/93,72,0.22,percent,sale,False,260050,260050,,
a41a,a41a,l10n_chart_it_fcoach66,Acq.N.I. art.41 L.427/93,73,,percent,purchase,False,,,,
a41v,a41v,l10n_chart_it_fcoach66,Vend.N.I. art.41 L.427/93,74,,percent,sale,False,,,,
l244a,l244a,l10n_chart_it_fcoach66,Acq.art.1c96-117 L.244/07 (reg.Minimo),75,,percent,purchase,False,,,,
l244v,l244v,l10n_chart_it_fcoach66,Vend.art.1c96-117 L.244/07 (reg.Minimo),76,,percent,sale,False,,,,
l98a27a,l98a27a,l10n_chart_it_fcoach66,Acq.senza IVA art.27 L.98/11,77,,percent,purchase,False,,,,
l98a27v,l98a27v,l10n_chart_it_fcoach66,Vend.senza IVA art.27 L.98/11,78,,percent,sale,False,,,,
